"gene" "mitochondrial_source"
"AADAT" "mitocarta-3"
"AARS2" "both"
"AASS" "mitocarta-3"
"ABAT" "mitocarta-3"
"ABCA9" "mitocarta-3"
"ABCB10" "mitocarta-3"
"ABCB6" "mitocarta-3"
"ABCB7" "mitocarta-3"
"ABCB8" "mitocarta-3"
"ABCD1" "mitocarta-3"
"ABCD2" "mitocarta-3"
"ABCD3" "mitocarta-3"
"ABHD10" "mitocarta-3"
"ABHD11" "mitocarta-3"
"ACAA1" "mitocarta-3"
"ACAA2" "both"
"ACACA" "mitocarta-3"
"ACACB" "mitocarta-3"
"ACAD10" "both"
"ACAD11" "both"
"ACAD8" "mitocarta-3"
"ACAD9" "both"
"ACADL" "both"
"ACADM" "both"
"ACADS" "both"
"ACADSB" "mitocarta-3"
"ACADVL" "both"
"ACAT1" "mitocarta-3"
"ACBD6" "Co-annotation + MC-20"
"ACCS" "mitocarta-3"
"ACLY" "mitocarta-3"
"ACO2" "both"
"ACOD1" "mitocarta-3"
"ACOT11" "both"
"ACOT12" "Co-annotation + MC-20"
"ACOT13" "both"
"ACOT2" "both"
"ACOT7" "both"
"ACOT9" "both"
"ACP6" "mitocarta-3"
"ACSF2" "both"
"ACSF3" "mitocarta-3"
"ACSL1" "mitocarta-3"
"ACSL6" "mitocarta-3"
"ACSM1" "mitocarta-3"
"ACSM2A" "mitocarta-3"
"ACSM2B" "mitocarta-3"
"ACSM3" "both"
"ACSM4" "mitocarta-3"
"ACSM5" "mitocarta-3"
"ACSS1" "mitocarta-3"
"ACSS2" "Co-annotation + MC-20"
"ACSS3" "mitocarta-3"
"ADCK1" "mitocarta-3"
"ADCK2" "mitocarta-3"
"ADCK5" "mitocarta-3"
"ADCY10" "mitocarta-3"
"ADHFE1" "both"
"AFG1L" "mitocarta-3"
"AFG3L2" "both"
"AGK" "mitocarta-3"
"AGMAT" "mitocarta-3"
"AGPAT4" "mitocarta-3"
"AGPAT5" "mitocarta-3"
"AGXT" "mitocarta-3"
"AGXT2" "mitocarta-3"
"AHCYL1" "mitocarta-3"
"AIFM1" "mitocarta-3"
"AIFM2" "mitocarta-3"
